Account Name,Activity Date,Activity ID,Activity Name,Calculation1,FTEs,Hours this week,Covid Work,Datasource Filter,Hours last week,Manager ID,Manager,Name,Number of Records,Presales Activity Detail,Presales Activity Type,Time to Complete
Eu Industries,1/22/2020,E85EAB88-278E-DB45-FA5B-28847F53BFF1,"Covid dolor, tempus non, lacinia at,",3,0.022826087,,Yes,Yes,,663931 0702,Karen K. Cote,Eric X. Brooks,1,Training,Customer Success,3
Sed Eu Eros Inc.,2/12/2020,4AB575D9-BD09-5F99-E8A5-D1A6E72C5993,"mollis nec, cursus a, enim.",6.5,0.060869565,,No,Yes,,813792 8282,May R. Henderson,Maxwell P. Cole,1,Training,Customer Success,8
At Sem Molestie Limited,1/17/2020,32ED9A13-6E4F-F31F-A84A-EE478F97A9F6,sodales elit erat vitae risus.,3,0.022826087,,No,Yes,,466507 2478,Neil K. Sherman,Aphrodite E. Bishop,1,Training,Customer Success,3
Tempor Arcu Ltd,1/15/2020,3D2585EE-0E09-BC70-F641-08C3A7CC02B1,Covid interdum. Curabitur dictum. Phasellus in,6,0.057065217,,Yes,Yes,,762657 3336,Kaden A. Chase,Stephanie U. Perry,1,Advanced Analysis,Customer Success,7.5
Nunc Nulla Consulting,1/23/2020,781F4D4A-6917-E6F9-7891-82B36225D24D,eu dolor egestas rhoncus. Proin,5.5,0.053260870,,No,Yes,,194011 3200,Hadley J. Noel,Audrey M. Carey,1,Training,Customer Success,7
Pellentesque Industries,1/30/2020,034EF221-64FF-0B88-6D13-073866EE5B63,"diam nunc, ullamcorper eu, euismod",3.5,0.038043478,,No,Yes,,386538 7280,Wesley J. Hunt,Shelby E. Clarke,1,General Help,Customer Success,5
Volutpat Nulla Inc.,2/13/2020,25836181-C3E2-7FFC-12C1-43335A0591C0,a mi fringilla mi lacinia,2.5,0.019021739,,No,Yes,,585241 5552,Belle J. Shaw,Mariko J. Elliott,1,Analytics,Customer Success,2.5
Ante Maecenas Consulting,1/28/2020,4DE89C59-94ED-E9D7-F540-E982E170F98F,"est mauris, rhoncus id, mollis",5.5,0.053260870,,No,Yes,,415314 9846,Hashim E. Delacruz,Garrison Y. Hahn,1,Advanced Analysis,Customer Success,7
Vitae Posuere Foundation,3/2/2020,CB26861B-B0BF-2751-AF23-79035C02F9A4,"Covid et, euismod et, commodo at,",1.5,0.011413043,,Yes,Yes,,138149 7336,Malcolm L. Greer,Wayne W. Roy,1,Training,Customer Success,1.5
Donec Consectetuer Mauris Incorporated,3/20/2020,9475D6F0-7445-7805-C0B8-1CB8C2873E63,"Covid Curabitur consequat, lectus sit amet",9,0.079891304,,Yes,Yes,,159488 0450,Declan D. Puckett,Cheryl U. Perkins,1,Data Support,Customer Success,10.5
Facilisis Suspendisse Commodo Incorporated,1/10/2020,8E98EB66-AC38-1AFE-DC86-98044C278B0E,Covid imperdiet dictum magna. Ut tincidunt,3,0.022826087,,Yes,Yes,,519075 4027,Wesley J. Hunt,Kaden J. Barlow,1,General Help,Customer Success,3
Ligula Incorporated,2/13/2020,594BF9CC-6385-1C57-E9EA-B8C73292F081,"Covid at pretium aliquet, metus urna",5.5,0.053260870,,Yes,Yes,,413138 9514,Leonard C. Ingram,Ori E. Burton,1,General Help,Customer Success,7
Vitae Limited,1/15/2020,B30BF35C-41FD-6868-0F54-AAA6AB47A43F,magna. Ut tincidunt orci quis,1.5,0.011413043,,No,Yes,,416781 1860,Dolan X. Russo,Jameson K. Goodman,1,Training,Customer Success,1.5
Lectus Nullam Inc.,2/26/2020,8895671F-161C-A394-CBBF-A577F4033376,"faucibus lectus, a sollicitudin orci",8.5,0.076086957,,No,Yes,,016966 9306,Mara Y. Mann,Ulla Q. Carr,1,Analytics,Customer Success,10
Metus Urna Convallis Limited,1/9/2020,6DDBD9CF-8BA7-6196-8AB9-4CD599351A9E,"a ultricies adipiscing, enim mi",3.5,0.026630435,,No,Yes,,389099 8333,Zorita A. Byers,Jerome X. Wynn,1,Analytics,Customer Success,3.5
Vitae Posuere Foundation,3/2/2020,22EC782F-7D1B-751F-DC98-FDFB19470348,natoque penatibus et magnis dis,4,0.030434783,,No,Yes,,343047 6980,Malcolm L. Greer,Wayne W. Roy,1,Analytics,Customer Success,4
Pede Ultrices A Incorporated,3/11/2020,9105C759-8AA4-BDCF-7830-EF4C4F532B00,tortor nibh sit amet orci.,4,0.030434783,,No,Yes,,825202 3364,Elliott C. Ortiz,Winifred I. Pope,1,Advanced Analysis,Customer Success,4
Tellus Non Magna Institute,2/4/2020,FB9E843F-391E-1DC2-66C5-70694192B902,"Covid porta elit, a feugiat tellus",6.5,0.060869565,,Yes,Yes,,159164 4693,Caleb Q. Lott,Myles I. Nguyen,1,Analytics,Customer Success,8
Et Incorporated,2/11/2020,90F2650D-2DBC-A9DB-9532-34095600C8FA,elit erat vitae risus. Duis,4,0.030434783,,No,Yes,,049775 1420,Hilda Y. Merritt,Gwendolyn K. Brewer,1,Data Support,Customer Success,4
Penatibus Et Magnis Industries,1/17/2020,8AEDBA35-B0BF-0621-02A0-A26C8E69D13D,Covid sem. Nulla interdum. Curabitur dictum.,4,0.030434783,,Yes,Yes,,926778 9817,Neil K. Sherman,Gregory M. Lamb,1,General Help,Customer Success,4
Elit PC,1/9/2020,F3013EDD-C99A-C1DE-F92B-25AAAB3CBB2B,"dolor dapibus gravida. Aliquam tincidunt,",2,0.015217391,,No,Yes,,274989 2499,Luke D. Tyson,Imani L. Maynard,1,Analytics,Customer Success,2
Magna Foundation,2/24/2020,0FBE57AF-3201-9AB2-992A-A1CC10C0597E,Etiam bibendum fermentum metus. Aenean,6,0.057065217,,No,Yes,,193171 0501,Caleb Q. Lott,Myles I. Nguyen,1,Advanced Analysis,Customer Success,7.5
Morbi Non Corp.,3/24/2020,19411BE3-EDDE-171E-96B9-B1B4914FA59A,"ut, pellentesque eget, dictum placerat,",3,0.022826087,,No,Yes,3,697414 8865,Buffy Y. Flynn,Brock K. Ramsey,1,Training,Customer Success,3
Cum Sociis Natoque Corporation,3/10/2020,411D13EC-A161-5570-6C56-F936C00DDBFC,"ante. Maecenas mi felis, adipiscing",3,0.022826087,,No,Yes,,854525 1285,Karen K. Cote,Caryn W. Weeks,1,General Help,Customer Success,3
Rhoncus Donec Limited,1/16/2020,33F88326-A62D-5941-9CE3-0B2FFB5190CC,"mattis ornare, lectus ante dictum",3,0.022826087,,No,Yes,,802464 0834,Dolan X. Russo,Eliana M. Morales,1,Advanced Analysis,Customer Success,3
Rutrum Inc.,1/31/2020,9CECC2F7-761F-7E2C-F32E-F6EF4B4DDC1D,Sed et libero. Proin mi.,4,0.030434783,,No,Yes,,112118 4855,Hadley J. Noel,Dennis A. Schultz,1,Training,Customer Success,4
Massa LLC,3/4/2020,4B4C4388-40E8-1C75-1CCD-4F88FA52163D,"Covid et, magna. Praesent interdum ligula",3.5,0.038043478,,Yes,Yes,,973626 5589,Holly P. Cameron,Maxwell O. Dickson,1,Analytics,Customer Success,5
Interdum Curabitur Dictum Institute,2/25/2020,C678848A-C526-6873-4F69-68DB1C1F1DB0,lectus. Cum sociis natoque penatibus,5.5,0.053260870,,No,Yes,,452722 1545,Kelly C. Monroe,Grace A. Norman,1,Analytics,Customer Success,7
Suscipit Nonummy Fusce LLC,2/7/2020,668FB15B-3559-E005-FDC0-F5CCB58CDB7C,neque. Nullam nisl. Maecenas malesuada,6.5,0.060869565,,No,Yes,,337965 3268,Mara Y. Mann,Ulla Q. Carr,1,General Help,Customer Success,8
Morbi Neque Limited,3/12/2020,A42E6A23-040C-372A-9B23-6D76C9025634,ornare. Fusce mollis. Duis sit,3,0.022826087,,No,Yes,,609848 3917,Mara Y. Mann,Ulla Q. Carr,1,General Help,Customer Success,3
Fringilla Mi Corp.,2/28/2020,25D25E32-3044-F92D-AFBE-971E32E34301,Cum sociis natoque penatibus et,8.5,0.076086957,,No,Yes,,289910 3861,Mikayla K. Moore,Delilah A. Randolph,1,Advanced Analysis,Customer Success,10
Fringilla Cursus PC,3/11/2020,F8955DDE-6D33-C49A-30B9-B146945A8D69,Covid scelerisque neque. Nullam nisl. Maecenas,1,0.007608696,,Yes,Yes,,655892 1091,Tasha V. Sellers,Phelan J. Garner,1,Analytics,Customer Success,1
Cras Vehicula Aliquet LLC,1/9/2020,42519665-8D41-C7B6-09E0-8C94792C9C9B,"blandit. Nam nulla magna, malesuada",4.5,0.045652174,,No,Yes,,152022 2801,Dolan X. Russo,Audrey I. Kirby,1,Training,Customer Success,6
Vitae Institute,2/14/2020,9CC011A6-5320-5206-B95C-369ACF84C9E1,"erat, in consectetuer ipsum nunc",6.5,0.060869565,,No,Yes,,285538 0669,April F. David,Jana L. Langley,1,Training,Customer Success,8
Metus Vivamus Industries,3/26/2020,6C5EED04-1511-1F3C-0F50-9B20006A5457,"a, arcu. Sed et libero.",9,0.079891304,,No,Yes,10.5,695547 2656,Elliott C. Ortiz,Yuli L. Santana,1,Data Support,Customer Success,10.5
Sed Nunc Incorporated,2/10/2020,219A74D4-05D8-61AC-3FF1-CBB19E49592D,congue. In scelerisque scelerisque dui.,1,0.007608696,,No,Yes,,026624 0167,Dolan X. Russo,Audrey I. Kirby,1,General Help,Customer Success,1
Morbi Non Corp.,1/15/2020,F41C08D0-CD6A-A91D-128D-FBEAE955DE2B,"magna, malesuada vel, convallis in,",3.5,0.038043478,,No,Yes,,524190 5420,Libby C. Mclean,Galvin Y. Pruitt,1,Analytics,Customer Success,5
Lectus Nullam Inc.,2/5/2020,963C311E-3CD9-3BB4-F2E0-A96BB7973672,"Nam nulla magna, malesuada vel,",4,0.041847826,,No,Yes,,387063 2712,Mara Y. Mann,Ulla Q. Carr,1,Analytics,Customer Success,5.5
Adipiscing Consulting,1/15/2020,5621AC59-A222-BA27-1D79-C7634DCD8213,Covid et malesuada fames ac turpis,3.5,0.038043478,,Yes,Yes,,563916 1123,Dolan X. Russo,Rogan M. Le,1,Analytics,Customer Success,5
Pellentesque Industries,1/30/2020,C872F9C0-85D5-A6C5-078F-678710A520A3,"a ultricies adipiscing, enim mi",6.5,0.060869565,,No,Yes,,522588 9137,Wesley J. Hunt,Shelby E. Clarke,1,Data Support,Customer Success,8
Diam Duis Inc.,3/11/2020,27EC0965-F492-56AC-80C1-6879D5CEB497,Covid volutpat. Nulla facilisis. Suspendisse commodo,3.5,0.038043478,,Yes,Yes,,579642 1377,Coby G. Mckay,Nayda R. Dale,1,Training,Customer Success,5
Proin Vel Industries,3/27/2020,5FC700F3-4109-CFDF-C1F4-74C2091BBBC7,eget magna. Suspendisse tristique neque,3.5,0.038043478,,No,Yes,5,786345 9322,Luke D. Tyson,Elmo K. Shields,1,Training,Customer Success,5
Hendrerit Neque Industries,1/3/2020,C74E1E87-AC7D-6114-255D-5DD421495133,Covid Donec feugiat metus sit amet,4,0.030434783,,Yes,Yes,,779321 0837,James Z. Garrett,Reed B. Spence,1,Analytics,Customer Success,4
Imperdiet Non PC,1/27/2020,AE2D9D74-07AD-FFA3-FB99-3B11ED258B13,"Covid enim, sit amet ornare lectus",2.5,0.019021739,,Yes,Yes,,185795 8258,Dolan X. Russo,Stacy E. Espinoza,1,Training,Customer Success,2.5
Nulla Limited,1/28/2020,A4A03DE6-2398-C0C7-DED0-CF46D61951AB,"enim. Sed nulla ante, iaculis",5.5,0.053260870,,No,Yes,,372446 6051,Kelly C. Monroe,Grace A. Norman,1,Analytics,Customer Success,7
Facilisis Consulting,2/14/2020,52C63506-5FE9-C5AC-DF9A-41BB1D37116E,"consequat nec, mollis vitae, posuere",6,0.057065217,,No,Yes,,929494 3825,James Z. Garrett,Roanna B. Langley,1,Training,Customer Success,7.5
Id Sapien Cras Company,2/7/2020,F47CDB72-387B-AF50-0C15-E4E96C9E6567,"aliquam, enim nec tempus scelerisque,",4.5,0.045652174,,No,Yes,,294978 4645,Buffy Y. Flynn,Kelsey H. Daniel,1,Analytics,Customer Success,6
Feugiat Non Consulting,3/25/2020,01BAD355-AF1C-4272-B29F-217DF4BC3295,Covid justo. Proin non massa non,7,0.064673913,,Yes,Yes,8.5,482840 7231,Hashim E. Delacruz,Garrison Y. Hahn,1,General Help,Customer Success,8.5
Praesent Corporation,1/23/2020,2AFEEE39-8D56-25F1-400B-E3B683A99B4D,risus. Morbi metus. Vivamus euismod,3,0.034239130,,No,Yes,,389968 9552,May R. Henderson,Fredericka U. Morton,1,Analytics,Customer Success,4.5
Augue Ac LLP,1/30/2020,A9957834-51B4-C01B-5B51-846EB35F44D7,luctus. Curabitur egestas nunc sed,1.5,0.011413043,,No,Yes,,448591 3588,Elliott C. Ortiz,Winifred I. Pope,1,Analytics,Customer Success,1.5
Orci Quis Lectus Corporation,1/24/2020,27A92C85-2DC0-26C5-FF1F-E2647275552A,"Covid Nam ligula elit, pretium et,",1,0.007608696,,Yes,Yes,,878187 7157,Luke D. Tyson,Conan O. Huffman,1,General Help,Customer Success,1
Primis In Faucibus Incorporated,3/30/2020,5BD4672B-A93D-4969-7246-6FD9EDC7D5DE,arcu. Vestibulum ante ipsum primis,3,0.022826087,3,No,Yes,,722615 3075,Zorita A. Byers,Unity K. Singleton,1,Analytics,Customer Success,3
Suspendisse Sed Ltd,1/28/2020,D4AB377D-9136-5894-D62A-4B5001EA3215,non sapien molestie orci tincidunt,3,0.022826087,,No,Yes,,738843 7894,Ina E. Cochran,Kasper R. Marshall,1,Data Support,Customer Success,3
Augue Eu Tempor Consulting,1/22/2020,AEFABD30-5604-CED8-CF07-48FD7048FD30,Nullam nisl. Maecenas malesuada fringilla,5.5,0.053260870,,No,Yes,,692532 9457,Kaden A. Chase,Stephanie U. Perry,1,Training,Customer Success,7
At Associates,2/11/2020,298237A6-43C5-7969-CEED-9F4BB483466C,Covid metus facilisis lorem tristique aliquet.,4,0.030434783,,Yes,Yes,,103795 4854,Holly P. Cameron,Maxwell O. Dickson,1,Training,Customer Success,4
Magna Sed PC,3/6/2020,D485862A-22D2-2BA7-E70F-DE014C1B0D8A,Covid Sed molestie. Sed id risus,5.5,0.053260870,,Yes,Yes,,872673 8696,Lael W. Moore,Mollie Q. Morgan,1,Analytics,Customer Success,7
Aenean Sed Limited,2/28/2020,C31E5AEB-2025-8DC7-A1EA-7E9988F51160,congue turpis. In condimentum. Donec,1.5,0.011413043,,No,Yes,,612449 0951,Kaden A. Chase,Stephanie U. Perry,1,General Help,Customer Success,1.5
Urna Ltd,3/6/2020,633C2ADA-8F75-385C-9039-411F17D36ADD,"Covid sagittis felis. Donec tempor, est",4,0.041847826,,Yes,Yes,,135232 8239,Neil K. Sherman,Gregory M. Lamb,1,General Help,Customer Success,5.5
Morbi Vehicula Associates,3/4/2020,6A3EEA80-8A46-C26D-5DE7-E132554A32E2,turpis vitae purus gravida sagittis.,8.5,0.076086957,,No,Yes,,913079 7849,Neil K. Sherman,Jaquelyn X. Frost,1,General Help,Customer Success,10
At Augue Incorporated,1/16/2020,CA35DBEE-FE0C-4DC7-1EE8-AC4FD3B68872,"parturient montes, nascetur ridiculus mus.",2,0.015217391,,No,Yes,,795574 4532,Belle J. Shaw,Bernard K. Shepard,1,Data Support,Customer Success,2
Morbi Vehicula Associates,3/4/2020,46060525-E470-45F8-3CB8-3BDB623A82A4,Covid Aliquam erat volutpat. Nulla dignissim.,9,0.079891304,,Yes,Yes,,895128 3137,Neil K. Sherman,Jaquelyn X. Frost,1,General Help,Customer Success,10.5
Nulla Inc.,2/4/2020,3FA8C296-A700-B1F4-E7EA-E338B8308A5F,Fusce aliquet magna a neque.,6,0.057065217,,No,Yes,,463859 2362,August K. Schroeder,Kylie Y. Mendez,1,Advanced Analysis,Customer Success,7.5
Lobortis Mauris Corporation,2/4/2020,DBFE9D73-1CBF-5D2B-4F1E-F29CBF64358E,"Covid gravida non, sollicitudin a, malesuada",5.5,0.053260870,,Yes,Yes,,124885 2012,Luke D. Tyson,Keegan B. Terry,1,Training,Customer Success,7
Adipiscing Associates,3/10/2020,FB2289BE-77CE-9BA6-33DA-24E201CE831C,a felis ullamcorper viverra. Maecenas,7.5,0.068478261,,No,Yes,,126543 3464,James Z. Garrett,Roanna B. Langley,1,General Help,Customer Success,9
Aliquam LLP,1/13/2020,9B4C1068-3A62-D71E-616B-DF3457B933C2,blandit enim consequat purus. Maecenas,2,0.015217391,,No,Yes,,803786 4892,Holly P. Cameron,Dale C. Holmes,1,General Help,Customer Success,2
Aliquam Eros Turpis Inc.,2/13/2020,DE57A301-C5F9-DD20-0E4F-3204849DAD0E,sapien. Nunc pulvinar arcu et,1,0.007608696,,No,Yes,,015483 9567,Belle J. Shaw,Mariko J. Elliott,1,Analytics,Customer Success,1
