Highlight region,Use Me,City,Colors,Country,Customer Name,Discount,Latitude,Longitude,Make,Model Year,Model,Number of Records,Order ID,Price,Profit,Purchase Date,Region,State,Zip Code
True,Sunnyvale,Sunnyvale,Blue,United States,Burtie Spellworth,0.51,37.3983,-122.0006,Holden,2000,VS Commodore,1,39,41998,3394,12/6/2017,West,California,94089
False,Buffalo,Buffalo,Yellow,United States,Lem Boichat,0.5,42.7684,-78.8871,Eagle,2002,Talon,1,40,75285,14537,11/28/2016,East,New York,14233
False,Davenport,Davenport,Black,United States,Amata Duesberry,0.83,41.613,-90.6063,Ford,2010,F150,1,41,87453,7145,3/17/2015,Central,Iowa,52809
False,Baton Rouge,Baton Rouge,Black,United States,Honey Izac,0.59,30.486,-91.1481,Lexus,2011,GX,1,42,65780,16426,5/30/2017,South,Louisiana,70805
False,Washington,Washington,Black,United States,Loria Buckel,0.88,38.8933,-77.0146,Ford,2006,Econoline E250,1,43,95101,5865,11/23/2016,East,District of Columbia,20260
True,Lancaster,Lancaster,Red,United States,Alli Faulds,0.71,33.7866,-118.2987,Ford,2010,Excursion,1,44,49570,2673,10/31/2016,West,California,93584
False,Memphis,Memphis,Red,United States,Sara-ann Forcer,0.48,35.0664,-89.9921,Mitsubishi,2013,Eclipse,1,47,18666,5083,11/3/2015,South,Tennessee,38131
False,New York City,New York City,Yellow,United States,Phaedra Bryson,0.25,40.7105,-74.0163,Ford,2002,F150,1,48,98297,16492,8/1/2017,East,New York,10280
True,Anaheim,Anaheim,Yellow,United States,Herc Plumbe,0.06,33.8359,-117.9086,Toyota,2001,T100 Xtra,1,49,80519,1516,8/9/2017,West,California,92805
False,Oklahoma City,Oklahoma City,Yellow,United States,Amitie Fudge,0.37,35.5514,-97.4075,Volkswagen,2000,GTI,1,50,85380,30746,5/18/2016,South,Oklahoma,73124
False,Syracuse,Syracuse,Red,United States,Miltie Looks,0.69,43.0214,-76.1977,Mitsubishi,2004,GTO,1,51,96100,2669,4/8/2015,East,New York,13217
False,Cedar Rapids,Cedar Rapids,Red,United States,Shelby Toffoloni,0.74,42.0794,-91.5992,Lexus,2004,ES,1,52,71545,43595,5/27/2018,Central,Iowa,52410
False,Youngstown,Youngstown,Yellow,United States,Sutton Averies,0.71,41.1039,-80.6436,Toyota,2016,Avalon,1,53,48663,1688,4/10/2016,East,Ohio,44555
True,San Jose,San Jose,Black,United States,Keelia Leamy,0.08,37.3894,-121.8868,Saab,2011,9-5,1,54,74835,2110,6/9/2018,West,California,95194
False,Pensacola,Pensacola,Black,United States,Tabbi Barnsdall,0.25,30.6143,-87.2758,Mercury,2010,Monterey,1,55,81532,38401,2/15/2017,South,Florida,32595
False,Des Moines,Des Moines,Blue,United States,Darbie Ramas,0.69,41.6727,-93.5722,Nissan,2012,Sentra,1,56,77778,0,11/16/2018,Central,Iowa,50362
False,Wilmington,Wilmington,Yellow,United States,Brittaney Moresby,0,39.5645,-75.597,Mercury,2010,Grand Marquis,1,57,61597,1266,3/7/2016,East,Delaware,19892
False,Jackson,Jackson,Black,United States,Delmar Ritchie,0.74,32.3386,-90.1708,Chevrolet,2013,Express 3500,1,59,94882,22277,4/15/2016,South,Mississippi,39216
False,Washington,Washington,Black,United States,Brook Somers,0.61,38.905,-77.0162,Volkswagen,2007,GTI,1,60,27265,19171,1/4/2018,East,District of Columbia,20205
False,Orlando,Orlando,Yellow,United States,Candida Yellowlee,0.38,28.5803,-81.4396,Cadillac,2016,Escalade EXT,1,61,66321,2142,5/10/2015,South,Florida,32808
False,Newark,Newark,Red,United States,Sonja Lockyer,0.9,40.7664,-74.1695,Lexus,2013,ES,1,66,93083,15839,8/15/2015,East,New Jersey,07104
False,Naples,Naples,Green,United States,Marge Messager,0.48,26.045,-81.6669,Plymouth,2005,Grand Voyager,1,68,26386,31960,5/8/2015,South,Florida,33961
False,Lehigh Acres,Lehigh Acres,Red,United States,Jeane Schimpke,0.72,26.6492,-81.6167,Infiniti,2005,I,1,69,53400,5467,3/10/2016,South,Florida,33972
True,Denver,Denver,Black,United States,Marcus Bootyman,0.36,39.7388,-104.4083,Volkswagen,2006,Cabriolet,1,70,61802,7750,6/24/2018,West,Colorado,80299
False,Dayton,Dayton,Yellow,United States,Glyn Pavek,0.13,39.7505,-84.2686,Pontiac,2008,Bonneville,1,73,50385,3093,8/9/2018,East,Ohio,45454
False,Kansas City,Kansas City,Yellow,United States,Galvan Longmaid,0.19,39.035,-94.3567,Chevrolet,2003,Blazer,1,74,13952,49418,5/23/2017,Central,Missouri,64187
False,Knoxville,Knoxville,Yellow,United States,Abagael Giffon,0.12,35.9901,-83.9622,Chevrolet,2009,Cavalier,1,75,25306,30822,5/18/2018,South,Tennessee,37939
True,Van Nuys,Van Nuys,Yellow,United States,Kyla Yukhov,0.15,34.1781,-118.4574,Volvo,2017,C70,1,76,34692,12197,10/29/2017,West,California,91411
False,Wichita Falls,Wichita Falls,Yellow,United States,Brenn Blaszczynski,0.69,33.8581,-98.5755,Infiniti,2007,I,1,77,46451,14369,5/15/2015,South,Texas,76310
True,Phoenix,Phoenix,Yellow,United States,Willette Risso,0.13,33.2765,-112.1872,Ford,2004,Expedition,1,78,76727,18144,2/6/2017,West,Arizona,85005
False,Atlanta,Atlanta,Yellow,United States,Claresta Genthner,0.7,33.7488,-84.3883,BMW,2007,7 Series,1,79,35722,35947,1/28/2016,South,Georgia,31132
True,Portland,Portland,Red,United States,Frannie Devil,0.44,45.5806,-122.3748,Bentley,2014,Brooklands,1,80,39137,29660,11/6/2018,West,Oregon,97286
False,Denton,Denton,Blue,United States,Addi Dowrey,0.43,33.1428,-97.0727,Dodge,2002,Stratus,1,81,12288,10040,9/4/2017,South,Texas,76210
True,Spokane,Spokane,Red,United States,Nevins Browncey,0.65,47.6536,-117.4317,Subaru,2011,Outback,1,83,81573,33895,7/30/2018,West,Washington,99220
True,Visalia,Visalia,Yellow,United States,Vince Brogiotti,0.26,36.3551,-119.301,Cadillac,2003,Catera,1,85,52419,22965,6/18/2018,West,California,93291
False,Oklahoma City,Oklahoma City,Yellow,United States,Bev Arnault,0.19,35.5514,-97.4075,Mazda,2000,929,1,86,53498,10613,7/25/2017,South,Oklahoma,73124
False,Topeka,Topeka,Black,United States,Bradly Walkington,0.48,39.0583,-95.7095,Nissan,2011,350Z,1,88,74955,22285,1/5/2016,Central,Kansas,66606
False,Peoria,Peoria,Red,United States,Helen-elizabeth Collumbine,0.14,40.7442,-89.7184,Volvo,2008,V70,1,90,72907,9438,10/6/2016,Central,Illinois,61656
True,Phoenix,Phoenix,Black,United States,Lorraine Conochie,0.2,33.3022,-112.1226,Suzuki,2013,Daewoo Lacetti,1,91,83401,19993,2/14/2016,West,Arizona,85045
False,Richmond,Richmond,Red,United States,Buddie Le Fevre,0.75,37.5313,-77.4161,Ford,2011,F250,1,92,40733,23638,12/18/2015,East,Virginia,23289
True,Phoenix,Phoenix,Red,United States,Joni Leeming,0.75,33.2765,-112.1872,Buick,2004,LeSabre,1,95,95710,18247,12/31/2015,West,Arizona,85030
False,Worcester,Worcester,Red,United States,Lydon Mottershaw,0.34,42.2894,-71.7888,Dodge,2008,Intrepid,1,98,14999,26549,5/2/2015,East,Massachusetts,01605
False,Beaufort,Beaufort,Red,United States,Rafaelia Londesborough,0.56,32.3401,-80.689,Chrysler,2006,Voyager,1,99,90969,2717,12/21/2015,South,South Carolina,29905
True,Sacramento,Sacramento,Yellow,United States,Niven Awty,0.72,38.3774,-121.4444,Honda,2014,Element,1,100,69228,6891,6/17/2017,West,California,94250
True,Kent,Kent,Yellow,United States,Tabbie Bohlje,0.19,47.368,-122.1206,Aston Martin,2012,V8 Vantage,1,101,57481,12470,11/3/2015,West,Washington,98042
False,Fort Wayne,Fort Wayne,Red,United States,Poul Lohmeyer,0.71,41.0456,-85.3058,Mercedes-Benz,2008,M-Class,1,103,46580,29723,12/24/2015,East,Indiana,46814
False,El Paso,El Paso,Black,United States,Fairfax Enticott,0.71,31.9386,-106.4073,Chevrolet,2010,Express 1500,1,104,24888,22863,8/18/2016,South,Texas,79934
False,Odessa,Odessa,Yellow,United States,Alia Redley,0.24,31.7466,-102.567,Hummer,2008,H1,1,105,42581,8964,3/8/2016,South,Texas,79769
False,Arlington,Arlington,Green,United States,Gael Coper,0.08,32.7714,-97.2915,Volkswagen,2016,GTI,1,106,47740,27498,11/22/2015,South,Texas,76004
True,Olympia,Olympia,Blue,United States,Vasilis Dyne,0.04,47.1042,-122.87,Chrysler,2012,PT Cruiser,1,107,29728,12015,5/9/2016,West,Washington,98506
False,Pensacola,Pensacola,Yellow,United States,Mirna Simonel,0.55,30.6143,-87.2758,Hummer,2009,H2,1,108,47462,4615,10/1/2018,South,Florida,32595
True,Los Angeles,Los Angeles,Yellow,United States,Arte Calder,0.17,33.7866,-118.2987,Dodge,2009,Dakota Club,1,109,52316,60028,9/1/2017,West,California,90101
True,Hayward,Hayward,Green,United States,Marion Devas,0.8,37.6374,-122.067,Honda,2006,S2000,1,112,30389,18229,8/26/2018,West,California,94544
False,Richmond,Richmond,Yellow,United States,Margeaux Eastman,0.55,37.5158,-77.5047,Buick,2005,Century,1,113,52611,12808,12/9/2017,East,Virginia,23225
False,El Paso,El Paso,Yellow,United States,Emyle Maven,0.54,31.6948,-106.3,Subaru,2004,Legacy,1,114,47956,11198,3/9/2018,South,Texas,79945
False,Metairie,Metairie,Yellow,United States,Brenn Aldington,0.53,29.6779,-90.0901,Chrysler,2013,Pacifica,1,115,58796,21024,3/8/2016,South,Louisiana,70033
False,Evansville,Evansville,Yellow,United States,Rey Godsafe,0.47,37.9971,-87.575,Chevrolet,2012,Suburban,1,116,43438,3731,11/15/2015,East,Indiana,47737
False,Omaha,Omaha,Green,United States,Forrester Gammons,0.89,41.2949,-96.0546,Dodge,2017,Challenger,1,117,36662,787,7/22/2017,Central,Nebraska,68134
False,Atlanta,Atlanta,Red,United States,Cynthia Sweetsur,0.34,33.7406,-84.5545,Aptera,2014,Typ-1,1,118,62294,31920,10/21/2016,South,Georgia,30336
False,Kansas City,Kansas City,Yellow,United States,Mathian Roscow,0.15,39.0966,-94.7495,Land Rover,2011,Range Rover,1,120,80876,19991,6/19/2016,Central,Kansas,66160
False,Lake Worth,Lake Worth,Black,United States,Maurise Muselli,0.42,26.5747,-80.0794,Chevrolet,2014,Traverse,1,121,15560,32750,6/21/2017,South,Florida,33462
False,Columbus,Columbus,Red,United States,Lonnie Waslin,0.52,39.969,-83.0114,Chevrolet,2010,Silverado 3500,1,123,68300,24812,11/8/2018,East,Ohio,43284
False,White Plains,White Plains,Yellow,United States,Maxy Gibbie,0.22,41.0247,-73.7781,Chevrolet,2012,Silverado 3500,1,124,44320,4965,5/27/2018,East,New York,10606
False,Austin,Austin,Red,United States,Merill MacQuarrie,0.7,30.2907,-97.7648,BMW,2009,7 Series,1,126,70272,13701,5/12/2016,South,Texas,78703
False,Macon,Macon,Black,United States,Dita Minshull,0.81,32.8067,-83.6913,Lexus,2012,IS,1,127,52171,3553,1/13/2016,South,Georgia,31205
False,Springfield,Springfield,Black,United States,Brocky Poff,0.45,42.0999,-72.5783,Chevrolet,2012,Malibu,1,128,45798,2902,3/7/2018,East,Massachusetts,01105
False,Topeka,Topeka,Red,United States,Lorilee Toomey,0.89,39.1271,-95.6384,Lexus,2016,LS,1,129,18655,23303,9/18/2018,Central,Kansas,66617
False,Roanoke,Roanoke,Black,United States,Rowney Adshead,0.66,37.2742,-79.9579,Audi,2007,A8,1,130,69023,24932,2/20/2017,East,Virginia,24009
False,Houston,Houston,Yellow,United States,Adele Andrivot,0.84,29.834,-95.4342,Volkswagen,2005,New Beetle,1,131,16705,1713,1/26/2017,South,Texas,77206
False,Kansas City,Kansas City,Black,United States,Lyndel MacPeake,0.09,39.0663,-94.5674,Toyota,2007,MR2,1,132,67033,15797,2/9/2015,Central,Missouri,64109
True,Los Angeles,Los Angeles,Red,United States,Nev Reuther,0.03,33.7866,-118.2987,Chrysler,2009,Pacifica,1,135,28568,29319,11/1/2018,West,California,90050
False,El Paso,El Paso,Green,United States,Hurlee McGunley,0.26,31.8925,-106.5426,Chevrolet,2016,Suburban,1,136,29197,9020,6/16/2018,South,Texas,79911
False,Buffalo,Buffalo,Blue,United States,Renaud Starking,0.2,42.9255,-78.7481,Lincoln,2000,Continental,1,137,17647,25136,1/19/2017,East,New York,14225
True,Fullerton,Fullerton,Red,United States,Lenard Vinsen,0.19,33.8994,-117.9063,Chevrolet,2004,Malibu,1,138,90141,19600,7/8/2016,West,California,92835
False,Mobile,Mobile,Black,United States,Nikaniki Blogg,0.69,30.6589,-88.178,Scion,2012,tC,1,139,86899,14913,12/31/2017,South,Alabama,36670
False,Oklahoma City,Oklahoma City,Red,United States,Sergeant Chafney,0.05,35.5704,-97.5257,Toyota,2002,Celica,1,140,44256,11268,5/3/2018,South,Oklahoma,73114
True,Tucson,Tucson,Yellow,United States,Tamiko Godlip,0.19,32.2691,-110.9845,Maybach,2011,57,1,142,54915,46458,1/13/2018,West,Arizona,85705
True,Albuquerque,Albuquerque,Green,United States,Brnaby Tumbelty,0.31,35.0443,-106.6729,Chevrolet,2017,Corvette,1,145,71178,24310,3/26/2018,West,New Mexico,87190
False,Akron,Akron,Yellow,United States,Andrej Moreno,0.73,41.1002,-81.6443,Saturn,2013,VUE,1,146,24396,9413,2/10/2018,East,Ohio,44321
False,Madison,Madison,Blue,United States,Walton Hailwood,0.63,43.0696,-89.4239,Jaguar,2011,S-Type,1,148,16472,24698,11/15/2016,Central,Wisconsin,53726
False,Amarillo,Amarillo,Yellow,United States,Megan Birkwood,0.64,35.1885,-101.8165,Aston Martin,2013,Vantage,1,149,97450,18161,7/2/2016,South,Texas,79176
False,Fort Lauderdale,Fort Lauderdale,Red,United States,Ailene Barson,0.35,26.1097,-80.3215,GMC,2013,Yukon,1,151,28095,12615,3/14/2018,South,Florida,33325
False,Hollywood,Hollywood,Yellow,United States,Elwira Billyeald,0.41,26.0185,-80.3449,Dodge,2009,Durango,1,152,91633,15436,4/8/2016,South,Florida,33028
False,Birmingham,Birmingham,Blue,United States,Annamarie Denacamp,0.6,33.5446,-86.9292,Lexus,2013,IS F,1,155,94508,15279,10/13/2015,South,Alabama,35295
False,Topeka,Topeka,Red,United States,Esme Juorio,0.77,39.0429,-95.7697,Ford,2001,Aerostar,1,156,21763,12352,8/3/2016,Central,Kansas,66629
False,Waco,Waco,Green,United States,Emery Culter,0.36,31.5915,-97.0823,Chevrolet,2015,Traverse,1,157,87264,3361,2/23/2016,South,Texas,76796
True,Whittier,Whittier,Red,United States,Benedict Bickerstasse,0.47,33.7866,-118.2987,Mercedes-Benz,2012,CLK-Class,1,159,65331,26178,9/24/2017,West,California,90610
False,Richmond,Richmond,Yellow,United States,Lauretta Gunningham,0.4,37.5593,-77.4471,Audi,2016,A4,1,160,53215,28112,5/29/2016,East,Virginia,23203
False,Brooklyn,Brooklyn,Yellow,United States,Raphael Cufflin,0.15,40.6281,-73.9467,Chevrolet,2007,Silverado 3500,1,161,63145,26228,12/29/2017,East,New York,11210
False,Rochester,Rochester,Black,United States,Clary Lukasik,0.44,43.286,-77.6843,Foose,2012,Hemisfear,1,164,57017,37403,11/29/2016,East,New York,14683
False,North Port,North Port,Red,United States,Marlowe Venditti,0.38,27.0459,-82.2491,Ford,2014,Fusion,1,167,31216,8981,9/5/2017,South,Florida,34290
False,Arlington,Arlington,Yellow,United States,Felisha Mc Giffin,0.3,38.8808,-77.113,Daewoo,2007,Leganza,1,169,51134,13921,1/24/2018,East,Virginia,22225
False,Madison,Madison,Yellow,United States,Margarette Silvermann,0.85,43.0696,-89.4239,Hummer,2013,H2,1,170,60950,34604,1/21/2017,Central,Wisconsin,53710
False,Charlotte,Charlotte,Blue,United States,Cyrus Aitchinson,0.46,35.26,-80.8042,GMC,2001,Savana 3500,1,174,31100,36746,8/26/2017,South,North Carolina,28230
False,Minneapolis,Minneapolis,Yellow,United States,Sherye Folan,0.28,45.0159,-93.4719,BMW,2012,5 Series,1,175,64190,2451,8/2/2015,Central,Minnesota,55470
False,Louisville,Louisville,Green,United States,Shelden Redwing,0.03,38.189,-85.6768,Porsche,2016,Boxster,1,178,10303,5181,8/16/2016,East,Kentucky,40266
True,Boise,Boise,Blue,United States,Merry Bruhn,0.35,43.4599,-116.244,Ford,2015,E350,1,180,29859,38970,9/5/2017,West,Idaho,83727
True,Santa Barbara,Santa Barbara,Yellow,United States,Desdemona Burkert,0.31,34.4453,-119.8025,Ford,2012,E250,1,181,67975,532,10/9/2018,West,California,93111
False,Mobile,Mobile,Red,United States,Gerhardt Atger,0.2,30.6589,-88.178,Chrysler,2014,Aspen,1,182,88812,13208,12/8/2016,South,Alabama,36622
False,Roanoke,Roanoke,Black,United States,Reeba Duthie,0.07,37.2742,-79.9579,Subaru,2012,Outback,1,183,23575,18446,8/24/2017,East,Virginia,24029
False,Lexington,Lexington,Yellow,United States,Aurore Sterman,0.34,38.0283,-84.4715,Hyundai,2008,Sonata,1,184,48372,8511,7/19/2016,East,Kentucky,40586
False,Lees Summit,Lees Summit,Blue,United States,Hephzibah Fanthome,0.41,38.8518,-94.3944,Acura,2017,RDX,1,185,94944,2674,4/30/2016,Central,Missouri,64082
False,Kalamazoo,Kalamazoo,Black,United States,Ruy Kneal,0.68,42.3189,-85.5152,Volkswagen,2003,Jetta,1,186,19338,26628,1/26/2016,East,Michigan,49048
False,Sterling,Sterling,Yellow,United States,Hewie Dornan,0.57,39.0853,-77.6452,Dodge,2002,Dakota,1,187,33437,14240,2/2/2016,East,Virginia,20167
False,Rochester,Rochester,Green,United States,Matthaeus Erat,0.86,43.1577,-77.608,Dodge,2017,Caravan,1,188,59798,21948,9/19/2018,East,New York,14604
False,Springfield,Springfield,Black,United States,Jarret Seide,0.34,39.7495,-89.606,BMW,2010,5 Series,1,189,84732,26430,12/13/2017,Central,Illinois,62794
False,Dallas,Dallas,Blue,United States,Angel Kearey,0.84,32.7699,-96.743,GMC,2004,1500 Club Coupe,1,192,32129,29140,4/24/2017,South,Texas,75210
False,Topeka,Topeka,Yellow,United States,Lucais Smitheram,0.32,39.0142,-95.6982,Land Rover,2009,Discovery,1,193,38278,8358,9/27/2016,Central,Kansas,66611
False,Saint Paul,Saint Paul,Yellow,United States,Rhianna Tylor,0.08,45.0803,-93.0875,GMC,2002,Sonoma Club Coupe,1,194,72288,1636,5/2/2017,Central,Minnesota,55127
False,Miami,Miami,Blue,United States,Powell Bungey,0.74,25.6615,-80.441,Dodge,2011,Sprinter,1,196,90393,35666,6/26/2016,South,Florida,33196
False,Waco,Waco,Red,United States,Agatha Dobbins,0.13,31.5915,-97.0823,Volkswagen,2015,Golf,1,197,20464,22815,2/3/2018,South,Texas,76796
True,Sacramento,Sacramento,Black,United States,Tomaso Grcic,0.16,38.5816,-121.4933,Mercedes-Benz,2016,S-Class,1,198,44550,5207,7/2/2018,West,California,95894
True,Santa Rosa,Santa Rosa,Yellow,United States,Kit Boldero,0.84,38.4386,-122.6727,Mitsubishi,2008,Eclipse,1,199,77739,3212,6/7/2016,West,California,95405
False,Nashville,Nashville,Blue,United States,Jessey Swanborough,0.79,36.0986,-86.8219,Mercury,2005,Sable,1,200,31380,10918,8/11/2018,South,Tennessee,37215
True,Seattle,Seattle,Black,United States,Chaddy Brockway,0.11,47.6849,-122.2968,Audi,2006,TT,1,201,62429,4761,10/13/2018,West,Washington,98115
False,Charlotte,Charlotte,Blue,United States,Helaine Philbrook,0.56,35.26,-80.8042,Mitsubishi,2000,Montero,1,202,34060,14613,10/4/2018,South,North Carolina,28230
False,Lakeland,Lakeland,Black,United States,Bethany Schenkel,0.86,28.072,-81.9609,GMC,2016,Savana 1500,1,203,61900,1051,1/18/2018,South,Florida,33805
False,Woburn,Woburn,Black,United States,Abbey Solloway,0.3,42.4464,-71.4594,Toyota,2010,Prius,1,204,36081,42355,4/6/2017,East,Massachusetts,01813
False,Baltimore,Baltimore,Red,United States,Noelyn Schachter,0.48,39.2847,-76.6205,Volkswagen,2008,Touareg,1,205,87888,42018,1/28/2017,East,Maryland,21275
False,Bloomington,Bloomington,Yellow,United States,Tybie Newey,0.14,40.4614,-88.953,Chevrolet,2012,Equinox,1,206,97868,40193,10/10/2015,Central,Illinois,61709
False,Washington,Washington,Yellow,United States,Rodolphe Grigorushkin,0.01,38.8933,-77.0146,Chevrolet,2014,Malibu,1,208,94146,48206,4/7/2017,East,District of Columbia,20088
False,Washington,Washington,Red,United States,Cornelius Vautin,0.72,38.8933,-77.0146,Lexus,2014,IS F,1,209,28332,33864,11/3/2016,East,District of Columbia,20310
False,Atlanta,Atlanta,Yellow,United States,Fredericka Gettens,0.56,33.8444,-84.474,Mitsubishi,2011,Galant,1,211,94328,403,2/11/2015,South,Georgia,30392
False,Madison,Madison,Yellow,United States,Giana Duffitt,0.64,43.0696,-89.4239,Audi,2002,Cabriolet,1,212,85816,2824,7/20/2015,Central,Wisconsin,53710
True,Portland,Portland,Blue,United States,Abigail Jochanany,0.66,45.5483,-122.8276,Infiniti,2014,G37,1,213,30347,0,4/6/2018,West,Oregon,97229
False,Winter Haven,Winter Haven,Blue,United States,Monti Jiruca,0.47,27.981,-81.6736,Dodge,2009,Dakota Club,1,214,86276,25147,7/29/2015,South,Florida,33884
True,Denver,Denver,Red,United States,William Dury,0.8,39.7388,-104.4083,Acura,2006,MDX,1,215,49525,3127,3/2/2016,West,Colorado,80299
True,San Mateo,San Mateo,Yellow,United States,Humfrid Essame,0.71,37.3811,-122.3348,Buick,2010,LaCrosse,1,216,40047,6388,8/24/2018,West,California,94405
False,Miami,Miami,Blue,United States,Franklyn Lomb,0.84,25.5584,-80.4582,Suzuki,2012,Aerio,1,217,82555,9982,5/21/2018,South,Florida,33245
False,Chicago,Chicago,Black,United States,Abigail Craske,0.03,41.8119,-87.6873,Ford,2006,Fiesta,1,221,95811,39339,3/28/2018,Central,Illinois,60681
True,Pasadena,Pasadena,Red,United States,Joete Knagges,0.56,33.7866,-118.2987,BMW,2017,6 Series,1,222,51448,12953,10/10/2017,West,California,91109
False,New York City,New York City,Black,United States,Bobine Binnie,0.67,40.7808,-73.9772,BMW,2005,M,1,224,37146,5745,5/27/2016,East,New York,10125
False,Youngstown,Youngstown,Green,United States,Leonerd Hoyland,0.58,41.1257,-80.6277,Porsche,2011,911,1,225,38452,14006,4/9/2017,East,Ohio,44505
True,Fresno,Fresno,Red,United States,Peta Paraman,0.56,36.7464,-119.6397,Daewoo,2004,Leganza,1,226,68291,2659,8/12/2016,West,California,93762
False,Kansas City,Kansas City,Yellow,United States,Minetta Broome,0.65,39.035,-94.3567,Jaguar,2012,XJ,1,227,70463,27324,8/7/2017,Central,Missouri,64142
False,Duluth,Duluth,Yellow,United States,Teirtza Lauder,0.88,46.7987,-92.0946,Hummer,2013,H2,1,228,51531,37866,5/6/2018,Central,Minnesota,55805
