Abbreviation,Profitable?,Profit Ratio,City,Column,Customer Name,Customer Segment,Discount,Number of Records,Order Date (copy),Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Row ID,Row,Sales,Ship Date,Ship Mode,Shipping Cost,State (Extract),State,Unit Price,Zip Code
NE,False,-49%,Kearney,4.5,Bill Donatelli,Corporate,0.03,1,1/3/2012,1/3/2012,30016,Critical,15,0.4,Office Supplies,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,-41.58,Central,4223,4,85.56,1/5/2012,Regular Air,5.66,Nebraska,Nebraska,5.28,68847
UT,False,-50%,Layton,4,Ann Steele,Corporate,0,1,1/3/2012,1/3/2012,11972,Not Specified,4,0.59,Technology,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,Office Machines,-452.2695,West,1663,5,896.49,1/5/2012,Delivery Truck,14.7,Utah,Utah,213.45,84041
LA,False,-45%,Baton Rouge,5.5,Andy Reiter,Corporate,0.08,1,1/3/2012,1/3/2012,9637,Low,12,0.66,Technology,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,-236.43,South,1315,6,522.49,1/5/2012,Regular Air,16.71,Louisiana,Louisiana,43.22,70802
NE,False,-28%,Kearney,4.5,Bill Donatelli,Corporate,0.01,1,1/3/2012,1/3/2012,30016,Critical,8,0.57,Technology,Small Box,T18,Telephones and Communication,-212.553,Central,4224,4,754.6555,1/6/2012,Regular Air,2.5,Nebraska,Nebraska,110.99,68847
LA,True,+26%,Baton Rouge,5.5,Andy Reiter,Corporate,0.04,1,1/3/2012,1/3/2012,9637,Low,12,0.36,Office Supplies,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,32.44,South,1317,6,123.76,1/7/2012,Regular Air,2.27,Louisiana,Louisiana,10.14,70802
LA,True,+51%,Baton Rouge,5.5,Andy Reiter,Corporate,0.05,1,1/3/2012,1/3/2012,9637,Low,49,0.37,Technology,Large Box,Polycom ViaVideo™ Desktop Video Communications Unit,Office Machines,14440.39,South,1316,6,28359.4,1/10/2012,Regular Air,24.49,Louisiana,Louisiana,574.74,70802
TX,False,-38%,Bryan,4,Dave Hallsten,Home Office,0.06,1,1/4/2012,1/4/2012,49730,High,3,0.61,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,-394.69,Central,6953,7,1039.56,1/5/2012,Delivery Truck,30,Texas,Texas,350.98,77803
TX,False,-120%,Pharr,4,Tamara Dahlen,Corporate,0.03,1,1/4/2012,1/4/2012,8710,Critical,17,0.4,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,-76.015,Central,1193,7,63.34,1/5/2012,Regular Air,6.27,Texas,Texas,3.36,78577
TX,True,+6%,Pharr,4,Tamara Dahlen,Corporate,0.07,1,1/4/2012,1/4/2012,8710,Critical,42,0.35,Office Supplies,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",Paper,8.33,Central,1194,7,151.35,1/6/2012,Express Air,1.93,Texas,Texas,3.71,78577
TX,False,-3%,Bedford,4,Darren Budd,Consumer,0.07,1,1/5/2012,1/5/2012,57253,Critical,48,0.6,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,-335.24,Central,8013,7,12635.75,1/5/2012,Regular Air,35,Texas,Texas,279.48,76021
TX,True,+24%,Bedford,4,Darren Budd,Consumer,0.04,1,1/5/2012,1/5/2012,57253,Critical,25,0.55,Technology,Small Box,232,Telephones and Communication,667.449,Central,8015,7,2750.107,1/5/2012,Regular Air,5.26,Texas,Texas,125.99,76021
IA,False,-11%,Dubuque,5,Marina Lichtenstein,Corporate,0.08,1,1/5/2012,1/5/2012,32418,Not Specified,5,0.55,Furniture,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,-131.31,Central,4555,3,1244.19,1/6/2012,Delivery Truck,43.32,Iowa,Iowa,243.98,52001
TX,False,-58%,Bedford,4,Darren Budd,Consumer,0.08,1,1/5/2012,1/5/2012,57253,Critical,49,0.7,Furniture,Jumbo Box,"Iceberg OfficeWorks 42"" Round Tables",Tables,-139.15575,Central,8014,7,240.3,1/6/2012,Regular Air,5.68,Texas,Texas,4.91,76021
TX,True,+2%,Bedford,4,Darren Budd,Consumer,0.08,1,1/5/2012,1/5/2012,57253,Critical,43,0.58,Furniture,Jumbo Drum,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,1.74,Central,8011,7,78.08,1/6/2012,Regular Air,0.75,Texas,Texas,1.81,76021
OK,True,+29%,Norman,4.5,Pauline Chand,Small Business,0.02,1,1/5/2012,1/5/2012,28451,Critical,41,0.59,Furniture,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Office Furnishings,2593.14,Central,3982,6,8958.46,1/6/2012,Regular Air,21.21,Oklahoma,Oklahoma,209.84,73071
FL,False,-51%,Ormond Beach,8.5,Valerie Dominguez,Corporate,0.09,1,1/5/2012,1/5/2012,25601,Medium,43,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-131.08,South,3588,8,257.41,1/6/2012,Regular Air,4.69,Florida,Florida,5.98,32174
NY,False,-17%,Deer Park,9.5,Dorris Love,Home Office,0.05,1,1/5/2012,1/5/2012,290,Not Specified,24,0.36,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,-32.48,East,47,2,188.73,1/6/2012,Regular Air,5.83,New York,New York,7.64,11729
IA,False,-17%,Fort Dodge,5,Matt Collins,Consumer,0.03,1,1/5/2012,1/5/2012,1028,High,6,0.4,Technology,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",Computer Peripherals,-28.46,Central,164,3,165.75,1/6/2012,Regular Air,1.99,Iowa,Iowa,28.48,50501
TX,False,-208%,Bedford,4,Darren Budd,Consumer,0.06,1,1/5/2012,1/5/2012,57253,Critical,29,0.64,Furniture,Jumbo Drum,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,-1358.9,Central,8012,7,653.54,1/7/2012,Delivery Truck,53.03,Texas,Texas,20.98,76021
OK,True,+28%,Norman,4.5,Pauline Chand,Small Business,0.01,1,1/5/2012,1/5/2012,28451,Critical,21,0.59,Furniture,Large Box,Electrix Halogen Magnifier Lamp,Office Furnishings,1162.76,Central,3981,6,4201.08,1/7/2012,Regular Air,11.54,Oklahoma,Oklahoma,194.3,73071
LA,True,+34%,Monroe,5.5,Robert Waldorf,Home Office,0,1,1/5/2012,1/5/2012,59232,High,23,0.4,Office Supplies,Small Box,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,245.97,South,8291,6,725.43,1/7/2012,Regular Air,5.76,Louisiana,Louisiana,30.98,71203
IL,False,-27%,Mount Prospect,6,Susan Vittorini,Home Office,0.08,1,1/5/2012,1/5/2012,52386,High,6,0.38,Technology,Jumbo Drum,Canon S750 Color Inkjet Printer,Office Machines,-188.5812,Central,7352,3,700.73,1/7/2012,Delivery Truck,26.3,Illinois,Illinois,120.97,60056
OK,True,+21%,Norman,4.5,Pauline Chand,Small Business,0,1,1/5/2012,1/5/2012,28451,Critical,33,0.56,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,1054.93,Central,3983,6,4913.7,1/7/2012,Delivery Truck,17.85,Oklahoma,Oklahoma,145.45,73071
IA,False,-3%,Fort Dodge,5,Matt Collins,Consumer,0.01,1,1/5/2012,1/5/2012,1028,High,11,0.59,Technology,Small Box,3285,Telephones and Communication,-60.39,Central,165,3,2021.147,1/7/2012,Regular Air,5.99,Iowa,Iowa,205.99,50501
CT,False,-5%,Bristol,11,Corey Roper,Small Business,0.02,1,1/6/2012,1/6/2012,48226,Low,23,0.62,Furniture,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,-108.8,East,6773,3,2357.45,1/6/2012,Delivery Truck,35.84,Connecticut,Connecticut,100.98,06010
IL,False,-42%,Galesburg,6,Julia West,Home Office,0.04,1,1/6/2012,1/6/2012,23488,Critical,30,0.62,Furniture,Jumbo Box,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,-11053.6,Central,3284,3,26133.39,1/7/2012,Delivery Truck,44.55,Illinois,Illinois,880.98,61401
VA,True,+2%,Petersburg,8,Muhammed Yedwab,Consumer,0.03,1,1/6/2012,1/6/2012,16770,Critical,17,0.57,Office Supplies,Wrap Bag,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Pens & Art Supplies,0.610000000,South,2325,5,37.06,1/7/2012,Regular Air,0.7,Virginia,Virginia,2.1,23805
SC,False,-266%,Hilton Head Island,8.5,Craig Leslie,Consumer,0.03,1,1/6/2012,1/6/2012,14274,Not Specified,2,0.55,Technology,Small Box,Accessory35,Telephones and Communication,-164.043,South,2003,6,61.7185,1/7/2012,Regular Air,1.1,South Carolina,South Carolina,35.99,29915
VA,False,-79%,Herndon,8,Tracy Collins,Consumer,0.06,1,1/6/2012,1/6/2012,16961,Not Specified,27,0.51,Technology,Small Pack,BASF Silver 74 Minute CD-R,Computer Peripherals,-37.08,South,2350,5,46.86,1/7/2012,Regular Air,1.99,Virginia,Virginia,1.7,20170
SC,True,+3%,Hilton Head Island,8.5,Craig Leslie,Consumer,0.01,1,1/6/2012,1/6/2012,14274,Not Specified,23,0.74,Furniture,Jumbo Drum,Novimex Swivel Fabric Task Chair,Chairs & Chairmats,112.44,South,2001,6,3674.08,1/8/2012,Delivery Truck,30,South Carolina,South Carolina,150.98,29915
FL,True,+2%,Royal Palm Beach,8.5,Victor Price,Consumer,0.05,1,1/6/2012,1/6/2012,6854,Medium,19,0.37,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,2.39,South,948,8,129.84,1/8/2012,Express Air,4.95,Florida,Florida,6.64,33411
FL,False,-11%,Royal Palm Beach,8.5,Victor Price,Consumer,0.07,1,1/6/2012,1/6/2012,6854,Medium,1,0.35,Office Supplies,Small Box,GBC VeloBinder Strips,Binders and Binder Accessories,-2.392,South,947,8,22.13,1/8/2012,Express Air,6.16,Florida,Florida,7.68,33411
SC,False,-3%,Hilton Head Island,8.5,Craig Leslie,Consumer,0.01,1,1/6/2012,1/6/2012,14274,Not Specified,46,0.58,Office Supplies,Medium Box,Eldon Portable Mobile Manager,Storage & Organization,-40.72,South,2002,6,1413.89,1/8/2012,Express Air,13.99,South Carolina,South Carolina,28.28,29915
VA,True,+40%,Herndon,8,Tracy Collins,Consumer,0.01,1,1/6/2012,1/6/2012,16961,Not Specified,34,0.4,Office Supplies,Small Box,Xerox 19,Paper,433.24,South,2351,5,1089.59,1/8/2012,Regular Air,5.09,Virginia,Virginia,30.98,20170
VA,False,-76%,Fairfax,8,Maribeth Schnelling,Corporate,0.09,1,1/6/2012,1/6/2012,41094,Low,46,0.37,Office Supplies,Small Box,Xerox 227,Paper,-225.86,South,5794,5,298.97,1/8/2012,Regular Air,8.73,Virginia,Virginia,6.48,20151
CA,False,-72%,San Clemente,2,Julia Barnett,Home Office,0.03,1,1/6/2012,1/6/2012,23488,High,29,0.56,Office Supplies,Wrap Bag,Newell 342,Pens & Art Supplies,-73.19,West,3283,5,101.77,1/8/2012,Regular Air,3.97,California,California,3.28,92672
VA,False,-96%,Fairfax,8,Maribeth Schnelling,Corporate,0.05,1,1/6/2012,1/6/2012,41094,Low,6,0.84,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,-153.46,South,5795,5,159.05,1/10/2012,Regular Air,35,Virginia,Virginia,20.34,20151
NV,False,-27%,Las Vegas,2.5,Chloris Kastensmidt,Consumer,0.08,1,1/7/2012,1/7/2012,43909,High,46,0.37,Office Supplies,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,-199.134,West,6199,4,737.25,1/8/2012,Regular Air,13.18,Nevada,Nevada,15.99,89115
NY,False,-109%,Franklin Square,9.5,Jasper Cacioppo,Home Office,0.05,1,1/7/2012,1/7/2012,3073,Medium,3,0.4,Office Supplies,Small Box,Avery Reinforcements for Hole-Punch Pages,Binders and Binder Accessories,-11.5805,East,450,2,10.58,1/8/2012,Regular Air,4.77,New York,New York,1.98,11010
NY,False,-109%,Franklin Square,9.5,Jasper Cacioppo,Home Office,0.07,1,1/7/2012,1/7/2012,3073,Medium,3,0.41,Technology,Large Box,Canon PC1060 Personal Laser Copier,Copiers and Fax,-2314.74,East,451,2,2119.67,1/8/2012,Express Air,24.49,New York,New York,699.99,11010
NY,True,+0%,Franklin Square,9.5,Jasper Cacioppo,Home Office,0.07,1,1/7/2012,1/7/2012,3073,Medium,7,0.39,Technology,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,Office Machines,102.610000000,East,452,2,45923.76,1/8/2012,Regular Air,24.49,New York,New York,6783.02,11010
OK,False,-18%,Norman,4.5,Pauline Chand,Small Business,0.07,1,1/7/2012,1/7/2012,32295,High,11,0.58,Technology,Small Box,i1000,Telephones and Communication,-112.244,Central,4540,6,607.597,1/8/2012,Regular Air,5.99,Oklahoma,Oklahoma,65.99,73071
TX,True,+10%,Lubbock,4,George Ashbrook,Consumer,0.09,1,1/7/2012,1/7/2012,18405,Medium,30,0.37,Office Supplies,Small Box,Premium Transparent Presentation Covers by GBC,Binders and Binder Accessories,60.2735,Central,2538,7,610.65,1/9/2012,Express Air,8.83,Texas,Texas,20.98,79424
TX,False,-166%,Lubbock,4,George Ashbrook,Consumer,0.03,1,1/7/2012,1/7/2012,18405,Medium,2,0.65,Technology,Small Box,Keytronic French Keyboard,Computer Peripherals,-263.09,Central,2539,7,158.04,1/10/2012,Regular Air,14.52,Texas,Texas,73.98,79424
CA,True,+22%,Fresno,2,Benjamin Venier,Small Business,0.05,1,1/7/2012,1/7/2012,33923,Low,34,0.58,Technology,Small Box,i1000,Telephones and Communication,425.754,West,4778,5,1961.7915,1/11/2012,Regular Air,5.99,California,California,65.99,93727
ME,False,-18%,Brunswick,11.5,Julie Kriz,Corporate,0.01,1,1/7/2012,1/7/2012,40704,Low,6,0.56,Office Supplies,Wrap Bag,Newell 310,Pens & Art Supplies,-2.06,East,5733,0,11.57,1/12/2012,Regular Air,0.7,Maine,Maine,1.76,04011
OH,True,+85%,Garfield Heights,8,Sandra Flanagan,Home Office,0.03,1,1/8/2012,1/8/2012,4193,High,3,0.44,Furniture,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,64.25,East,612,3,75.77,1/8/2012,Regular Air,8.99,Ohio,Ohio,22.72,44125
OH,True,+22%,Garfield Heights,8,Sandra Flanagan,Home Office,0.07,1,1/8/2012,1/8/2012,4193,High,16,0.39,Office Supplies,Small Box,Avery 491,Labels,14.42,East,611,3,64.29,1/8/2012,Regular Air,0.99,Ohio,Ohio,4.13,44125
SC,True,+6%,Myrtle Beach,8.5,Luke Schmidt,Home Office,0.07,1,1/8/2012,1/8/2012,30083,Not Specified,23,0.58,Office Supplies,Small Box,Acco 6 Outlet Guardian Premium Surge Suppressor,Appliances,20.43,South,4234,6,324.28,1/9/2012,Regular Air,3.5,South Carolina,South Carolina,14.56,29577
WA,True,+43%,Edmonds,1.5,Ruben Dartt,Corporate,0.03,1,1/8/2012,1/8/2012,7203,High,25,0.38,Office Supplies,Small Box,GBC DocuBind TL300 Electric Binding System,Binders and Binder Accessories,9296.348,West,998,2,21752.01,1/10/2012,Regular Air,19.99,Washington,Washington,896.99,98026
CA,False,-80%,Pasadena,2,Mark Haberlin,Small Business,0.05,1,1/9/2012,1/9/2012,31715,Not Specified,44,0.56,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,-116.87,West,4451,5,145.19,1/9/2012,Regular Air,3.97,California,California,3.28,91104
OK,False,-85%,Lawton,4.5,Joni Blumstein,Home Office,0.02,1,1/9/2012,1/9/2012,18561,Not Specified,9,0.39,Office Supplies,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Labels,-38.9,Central,2571,6,45.87,1/10/2012,Regular Air,6.89,Oklahoma,Oklahoma,4.13,73505
CA,False,-79%,Pasadena,2,Mark Haberlin,Small Business,0.01,1,1/9/2012,1/9/2012,31715,Not Specified,11,0.36,Office Supplies,Small Box,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Binders and Binder Accessories,-53.8545,West,4450,5,68.5,1/10/2012,Regular Air,7.57,California,California,5.38,91104
CA,False,-30%,Gilroy,2,Cynthia Voltz,Corporate,0,1,1/9/2012,1/9/2012,8576,High,43,0.59,Office Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pens & Art Supplies,-164.25,West,1173,5,541.45,1/11/2012,Express Air,8.99,California,California,11.66,95020
NJ,True,+9%,Plainfield,10,Yana Sorensen,Corporate,0.07,1,1/9/2012,1/9/2012,58343,Not Specified,39,0.4,Office Supplies,Wrap Bag,Acco® Hot Clips™ Clips to Go,Rubber Bands,11.32,East,8161,3,121.87,1/11/2012,Regular Air,1.35,New Jersey,New Jersey,3.29,07060
ME,False,-6%,Augusta,11.5,Mark Haberlin,Small Business,0.09,1,1/9/2012,1/9/2012,31715,Not Specified,24,0.59,Office Supplies,Wrap Bag,Newell 339,Pens & Art Supplies,-4.09,East,4449,0,64.11,1/11/2012,Regular Air,0.97,Maine,Maine,2.78,04330
WI,False,-60%,Madison,5.5,Olvera Toch,Home Office,0.1,1,1/9/2012,1/9/2012,40097,Low,47,0.58,Office Supplies,Wrap Bag,12 Colored Short Pencils,Pens & Art Supplies,-71,Central,5666,2,117.88,1/14/2012,Regular Air,2.4,Wisconsin,Wisconsin,2.6,53711
PA,False,-469%,King of Prussia,9,Benjamin Patterson,Corporate,0.04,1,1/9/2012,1/9/2012,47138,Low,1,0.59,Technology,Small Box,M70,Telephones and Communication,-506.308,East,6627,3,107.95,1/16/2012,Regular Air,8.99,Pennsylvania,Pennsylvania,125.99,19406
MI,False,-32%,East Lansing,7.5,Kristina Nunn,Consumer,0.05,1,1/10/2012,1/10/2012,55367,Critical,31,0.56,Furniture,Jumbo Box,"Hon Metal Bookcases, Putty",Bookcases,-686.01,Central,7731,2,2137.1,1/11/2012,Delivery Truck,46.74,Michigan,Michigan,70.98,48823
TX,False,-85%,Denton,4,Darren Powers,Corporate,0.06,1,1/10/2012,1/10/2012,14596,Critical,19,0.56,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,-53.75,Central,2046,7,63.14,1/11/2012,Regular Air,3.97,Texas,Texas,3.28,76201
UT,False,-76%,Lehi,4,Ann Steele,Corporate,0.02,1,1/10/2012,1/10/2012,44391,Not Specified,16,0.37,Office Supplies,Small Box,Xerox 1996,Paper,-85.23,West,6273,5,112.81,1/11/2012,Regular Air,9.17,Utah,Utah,6.48,84043
PA,False,-78%,Pittsburgh,9,Rob Haberlin,Consumer,0,1,1/10/2012,1/10/2012,33988,Medium,30,0.79,Technology,Small Pack,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,-128.47,East,4787,3,164.78,1/11/2012,Regular Air,5.14,Pennsylvania,Pennsylvania,5.02,15122
VT,True,+36%,Essex Junction,10,Giulietta Dortch,Corporate,0.02,1,1/10/2012,1/10/2012,28999,High,34,0.45,Technology,Small Pack,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,420.05,East,4073,1,1177.5,1/11/2012,Regular Air,1.99,Vermont,Vermont,33.98,05451
TX,True,+37%,Denton,4,Darren Powers,Corporate,0.01,1,1/10/2012,1/10/2012,14596,Critical,24,0.43,Furniture,Wrap Bag,Document Clip Frames,Office Furnishings,73.33,Central,2045,7,199.12,1/12/2012,Regular Air,0.96,Texas,Texas,8.34,76201
MO,False,-34%,Hazelwood,5.5,Maria Bertelson,Home Office,0.01,1,1/10/2012,1/10/2012,28290,Low,3,0.66,Office Supplies,Small Box,Fellowes Super Stor/Drawer® Files,Storage & Organization,-179.36,Central,3965,4,523.58,1/12/2012,Express Air,19.99,Missouri,Missouri,161.55,63042
MI,True,+23%,East Lansing,7.5,Kristina Nunn,Consumer,0.05,1,1/10/2012,1/10/2012,55367,Critical,48,0.55,Office Supplies,Wrap Bag,Newell 309,Pens & Art Supplies,129.87,Central,7732,2,571.17,1/12/2012,Regular Air,2.36,Michigan,Michigan,11.55,48823
MN,True,+39%,Minnetonka,4.5,Sean Wendt,Corporate,0.09,1,1/10/2012,1/10/2012,31553,Critical,32,0.39,Office Supplies,Small Box,Multimedia Mailers,Envelopes,1907.94,Central,4425,2,4906.85,1/12/2012,Regular Air,19.99,Minnesota,Minnesota,162.93,55345
MO,False,-12%,Hazelwood,5.5,Maria Bertelson,Home Office,0.05,1,1/10/2012,1/10/2012,28290,Low,43,0.74,Technology,Small Box,"Fellowes Internet Keyboard, Platinum",Computer Peripherals,-154.24,Central,3964,4,1307.35,1/14/2012,Express Air,8.65,Missouri,Missouri,30.42,63042
KY,True,+34%,Pleasure Ridge Park,6.5,Michelle Moray,Corporate,0.02,1,1/10/2012,1/10/2012,20037,Low,35,0.42,Furniture,Small Box,"Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black",Office Furnishings,339.58,South,2775,4,1009.42,1/15/2012,Regular Air,8.55,Kentucky,Kentucky,29.18,40258
KY,True,+32%,Pleasure Ridge Park,6.5,Michelle Moray,Corporate,0.03,1,1/10/2012,1/10/2012,20037,Low,49,0.57,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,4913.16,South,2776,4,15137.11,1/15/2012,Delivery Truck,14.7,Kentucky,Kentucky,297.64,40258
NJ,True,+14%,Trenton,10,Bradley Drucker,Small Business,0.03,1,1/11/2012,1/11/2012,33797,Not Specified,18,0.36,Office Supplies,Small Box,Xerox 188,Paper,30.53,East,4758,3,216.87,1/11/2012,Regular Air,5.01,New Jersey,New Jersey,11.34,08601
MA,True,+14%,Bellingham,10.5,Bradley Drucker,Small Business,0.08,1,1/11/2012,1/11/2012,33797,Not Specified,20,0.57,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,653.68,East,4754,2,4531.34,1/11/2012,Delivery Truck,14.7,Massachusetts,Massachusetts,297.64,02019
MA,False,-78%,Beverly,10.5,Bradley Drucker,Small Business,0.02,1,1/11/2012,1/11/2012,33797,Not Specified,44,0.73,Furniture,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Office Furnishings,-449.04,East,4755,2,574.5,1/12/2012,Regular Air,14.37,Massachusetts,Massachusetts,12.99,01915
MA,False,-9%,Hanson,10.5,Bradley Drucker,Small Business,0.06,1,1/11/2012,1/11/2012,33797,Not Specified,18,0.52,Office Supplies,Medium Box,Holmes Odor Grabber,Appliances,-22.37,East,4756,2,262.94,1/12/2012,Regular Air,6.75,Massachusetts,Massachusetts,14.42,02341
IL,True,+27%,Springfield,6,Alan Barnes,Corporate,0.06,1,1/11/2012,1/11/2012,19655,High,31,0.51,Technology,Small Pack,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,304.42,Central,2726,3,1143.45,1/12/2012,Regular Air,1.99,Illinois,Illinois,39.24,62701
